mS1,mS2,mR,xsec_TChannel (fb),xsec_GluonSplit (fb)
2813.885,7779.294,7754.905,0.6631200000000101,0.01427889470000034
3435.045,5762.019,5772.601,0.5629700000000276,0.012364374059000864
3617.216,7570.074,7560.298,0.4733700000000273,0.010942069880000635
2856.617,8010.429,8018.708,1.3268000000000069,0.02907524380000029
3058.672,8450.878,8457.94,0.1586800000000016,0.003520518300000023
3015.022,7405.472,7383.094,0.853040000001915,0.018749957300001622
2601.731,6001.096,6009.178,1.112600000000989,0.023934919440024717
3503.52,7927.125,7934.761,0.11356000000002092,0.0025515560990005083
3505.258,7588.807,7573.009,0.5427500000000448,0.011805023600001258
2953.359,6071.851,6045.193,0.1845600000000565,0.004075736650000592
3204.782,8234.146,8240.021,0.6646800000000224,0.014737083730000666
2819.69,6437.579,6432.805,0.8584600000000256,0.01880131870000073
2942.012,4966.426,4978.673,0.21455000000000346,0.004697700750000066
2484.569,6422.596,6416.203,1.1248000000007115,0.02411398310001146
2640.858,7962.089,7954.604,0.5364700000000364,0.011676514100000618
3391.657,6758.5,6777.641,0.580190000000059,0.012777262700001759
2564.555,6731.071,6712.236,0.8275800000000106,0.018033786280000273
3438.776,6930.856,6921.974,0.20067000000000365,0.004458253641000123
2710.015,6303.571,6297.485,0.5385800000005253,0.011605882100004702
3172.814,7363.985,7342.113,0.9643200000001209,0.021328207000007
3067.899,6902.447,6894.911,0.14548000000004066,0.00327485285000069
2356.877,7464.879,7484.194,1.893300000001814,0.04113527500001983
2629.454,7679.481,7664.432,0.7903300000002557,0.016935701480006976
2255.515,6874.991,6850.112,0.578370000000045,0.012244814100000698
3044.718,7016.631,7011.075,0.4522400000000186,0.009968699000000332
3074.874,6829.619,6824.783,1.0146000000000146,0.022024129900000296
3287.692,8140.539,8134.773,0.6712700000000116,0.014612443900000487
3313.531,5003.433,4973.587,0.1699700000000349,0.003759276823000408
3335.794,5902.967,5925.543,0.3348100000000155,0.00743663429000048
3271.566,8130.619,8134.994,0.6837700000000372,0.014890726930000282
3864.612,7174.624,7167.022,0.13488000000008055,0.0029853213750007843
3852.856,6896.936,6882.996,0.21620000000012451,0.004726030460003605
2377.854,6127.838,6137.668,2.5225000000000146,0.052957657000000526
